;id_Comp_Matriz;Servicio;Ministerio;Anio;indicador1;indicador2;indicador3;indicador4;indicador5;indicador6;indicador8;indicador9;indicador10;indicador11;indicador12;indicador13;indicador14;indicador15;indicador16;indicador17;indicador18;indicador19;indicador20;indicador21;indicador22;indicador23;indicador24;indicador25;indicador26;indicador27;indicador28;indicador29;indicador30;indicador31;indicador32;indicador1_III;indicador2_III;indicador3_III;indicador4_III;indicador5_III;indicador6_III;indicador8_III;indicador9_III;indicador10_III;indicador11_III;indicador12_III;indicador13_III;indicador14_III;indicador15_III;indicador16_III;indicador17_III;indicador18_III;indicador19_III;indicador20_III;indicador21_III;indicador22_III;indicador23_III;indicador24_III;indicador25_III;indicador26_III;indicador27_III;indicador28_III;indicador29_III;indicador30_III;indicador31_III;indicador32_III;porComp;porTra;porAnom;porProm;score;Ministerio_y;Monto;Cantidad_licitaciones
1627;7060;Servicio De Salud Araucania Sur Hospital De Nueva Imperial;Ministerio de Salud;2022;39.9;5.0;-1.0;22.473974280465402;9.185548071034905;9.677024163913343;130.54573881016;263.99575736482797;0.07347062172051054;0.04285062504650828;2.842;1.9090909090909092;13.765642775881684;25.092861539823083;1.35;0.0;14.160839160839162;47.55;26.09;53.57;1.4;0.7;0.0;0.0;54.29;6.969999999999999;1.4;0.0;26.09;53.57;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;2.0;1.0;27.0;0.0;0.0;13.0;65.38205347797125;;9717224675.0;2957
706;125602;I Municipalidad De Curacavi;Municipios;2021;41.7;2.0;-1.0;40.36433365292426;31.86602870813397;8.075258077706723;93.599364875352;658.091019860987;0.02261784189656228;0.060348876127938045;4.651;1.7333333333333334;13.701236917221692;46.30538950328621;1.76;0.0;12.5;8.33;37.84;64.29;5.0;3.33;0.0;0.0;43.1;-20.729999999999997;5.0;0.0;37.84;64.29;0.0;2.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;13.0;0.0;0.0;6.0;57.262331455879846;;9686260823.0;1272
445;6942;Corporacion De Fomento De La Produccion;Ministerio de Economía, Fomento y Turismo;2021;11.3;5.0;0.0;38.46153846153846;11.11111111111111;23.311148186518132;441.26301846537103;239.768704655334;0.1967079940687717;0.021485702885041355;11.157;3.8867924528301887;28.72340425531915;21.023197101446733;3.81;0.0;14.622641509433961;7.55;6.45;11.76;5.66;1.89;0.0;0.0;51.92;10.410000000000004;5.66;0.0;6.45;11.76;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;13.0;0.0;0.0;6.0;70.50008533879502;;9682018205.0;949
2158;114725;I Municipalidad De La Union;Municipios;2022;27.5;6.0;0.0;30.505860579888957;27.45219000616903;21.701046301540032;57.820571217227005;242.63732344665198;0.01060717432927028;0.018420824150545016;1.91;2.4954128440366974;10.10608598548297;25.566083314656712;1.88;0.0;22.477064220183486;16.97;59.84;47.62;1.83;0.0;0.0;0.0;82.19;-5.710000000000008;1.83;0.0;59.84;47.62;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;2.0;2.0;1.0;27.0;0.0;10.0;17.0;65.15367779998097;;9585217111.0;4553
61;7066;I Municipalidad De El Tabo;Municipios;2021;45.1;2.0;0.0;37.42084052964882;15.313759355210133;10.01335012433934;50.607070391385;575.459758925917;0.006214076648736416;0.05054853277685256;4.854;1.4901960784313726;8.290155440414509;39.96875248553884;1.85;0.0;14.705882352941176;1.96;10.71;22.22;5.88;3.92;0.0;0.0;50.0;0.0;5.88;0.0;10.71;22.22;0.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;13.0;0.0;0.0;6.0;67.35279057859704;;9517255062.0;1849
1016;7060;Servicio De Salud Araucania Sur Hospital De Nueva Imperial;Ministerio de Salud;2021;34.8;6.0;1.0;18.976215098241987;8.841778697001034;10.046805433362278;115.924461137026;241.638408406725;0.062050951992466026;0.030834456376704407;3.791;1.9130434782608696;12.33150274588118;25.074494459401503;1.39;0.0;13.043478260869565;40.87;30.43;66.29;3.48;0.87;0.0;0.0;47.32;-5.799999999999997;3.48;0.0;30.43;66.29;;2.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;;20.0;0.0;0.0;10.0;63.855379188712526;;9516816824.0;2880
1164;116298;I Municipalidad De El Quisco;Municipios;2022;46.7;4.0;-1.0;55.09227614490772;11.825017088174983;7.40105811137286;37.331520974894;191.387257190933;0.0042104101172659785;0.020706861158786248;1.824;1.8493975903614457;6.71892497200448;20.86201506129623;1.74;0.0;25.301204819277107;12.95;84.86;93.1;1.81;1.81;0.0;0.0;99.07;2.1199999999999903;1.81;0.0;84.86;93.1;0.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;3.0;3.0;1.0;20.0;40.0;30.0;27.0;63.84368953595332;;9500938070.0;1843
1619;1264424;Servicio Nacional Para La Prevencion Y Rehabilitacion Del Consumo De D;Ministerio del interior y Seguridad pública;2022;32.0;6.0;2.0;59.54887218045113;7.969924812030076;21.09916273211259;373.36104370406696;311.043248821862;0.21431865731967895;0.022167728163755823;3.158;3.74;23.252496433666195;24.855097879844976;1.89;0.0;20.5;10.0;13.33;42.86;2.0;2.0;0.0;0.0;78.26;18.880000000000003;2.0;0.0;13.33;42.86;0.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;2.0;1.0;13.0;0.0;10.0;10.0;70.32702128334444;;9481477892.0;730
1896;99765;I Municipalidad De Talagante;Municipios;2022;16.7;7.0;1.0;40.6003937007874;9.394982784062961;14.091606868271992;74.530291099069;826.98328578171;0.021660241906975398;0.051643792842263704;3.721;1.9685990338164252;12.521968365553603;46.44854113368091;2.72;0.0;30.314009661835748;28.74;10.0;0.0;19.08;5.8;0.0;2.17;100.0;0.0;19.08;0.0;10.0;0.0;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;10.0;13.0;60.104037808862245;;9470969975.0;2817
2005;1759990;Hospital Complejo Asistencial Padre Las Casas;Otros;2022;27.5;5.0;-1.0;20.252301397886125;6.989430617115581;16.254289379808913;65.445689332861;158.88369481817998;0.006101107404168115;0.017162907571733405;3.467;2.9;9.157509157509157;18.099068004428464;1.89;0.0;21.25;35.0;17.14;20.0;1.25;0.0;0.0;0.0;83.75;6.760000000000005;1.25;;17.14;20.0;;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;;27.0;0.0;11.0;17.0;72.19679245922761;;9373553206.0;3469
842;84961;Ilustre Municipalidad De Molina ;Municipios;2021;25.7;5.0;-1.0;32.77723258096173;26.323529411764707;9.958249829988942;68.201281424591;600.242606870852;0.007092357714242722;0.05571859165211305;2.331;1.229802513464991;9.860935524652339;42.0954013396957;2.13;0.0;23.473967684021545;14.0;52.11;83.33;1.62;2.33;0.0;0.0;48.19;-0.20000000000000284;1.62;0.21;52.11;83.33;;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;3.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;3.0;;20.0;20.0;10.0;17.0;55.67195767195767;;9315600336.0;3160
2169;7071;I Municipalidad De Coyhaique;Municipios;2022;46.2;2.0;0.0;32.418838591678096;13.351623228166437;26.41494458321585;83.584581410759;627.022398877795;0.015774829416517002;0.02635283305645953;4.348;1.4807692307692308;12.73972602739726;44.31480635288389;1.6;0.0;18.75;1.92;48.57;0.0;0.0;3.85;0.0;0.0;73.47;4.239999999999995;0.0;0.0;48.57;0.0;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;2.0;1.0;1.0;27.0;0.0;10.0;17.0;67.43109081105084;;9278478946.0;2301
1508;278907;Servicio Regional De La Vivienda Y Urban;Ministerio de Vivienda y Urbanismo;2022;35.7;4.0;0.0;46.733668341708544;19.597989949748744;23.278085014931726;614.367591642019;2866.152711001082;0.4102799545672233;0.7523881650984323;3.311;2.0952380952380953;39.42307692307692;82.63626850639187;2.1;0.0;22.61904761904762;9.52;23.81;62.5;4.76;2.38;0.0;0.0;84.62;-4.569999999999993;4.76;0.0;23.81;62.5;0.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;2.0;3.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;2.0;1.0;27.0;0.0;10.0;17.0;51.66682526088749;;9271320162.0;212
1492;7412;Hospital Provincial   Del Huasco Msr Fernando Ariztia Ruiz;Ministerio de Salud;2022;54.3;2.0;1.0;16.854649925516068;44.94573313470951;57.583522064615465;56.319735740336;187.17597412580201;0.004110186016987802;0.01762382263414178;6.098;2.057142857142857;8.171041490262489;22.262708273621342;1.22;0.0;19.285714285714285;25.71;;0.0;28.57;0.0;0.0;0.0;48.57;5.710000000000001;28.57;;0.0;0.0;0.0;2.0;3.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;0.0;14.0;69.69450378055811;;9232859420.0;5143
455;115011;I Municipalidad De Calbuco;Municipios;2021;29.7;3.0;0.0;24.426666666666666;5.066666666666666;8.767782045606733;58.851893179931004;272.044042035399;0.004894890023559701;0.024451139096702795;5.426;1.8821138211382114;8.871391076115485;28.24465540596166;2.33;0.0;24.796747967479675;10.16;37.04;50.0;2.44;4.07;0.0;0.41;92.62;-3.6400000000000006;2.85;1.61;37.04;50.0;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;2.0;2.0;1.0;20.0;0.0;9.0;13.0;59.7610513739546;;9216111625.0;4805
959;87633;I. Municipalidad De Quilpue;Municipios;2021;28.0;3.0;-1.0;38.43042071197411;13.025889967637541;1.900325386366465;110.62402439319901;3077.7046265557115;0.02395921115987558;0.18464827632102573;2.265;2.3333333333333335;15.020080321285139;73.45632017110506;2.47;0.0;37.903225806451616;7.53;77.08;25.0;50.54;2.15;0.0;1.08;100.0;0.0;50.54;0.0;77.08;25.0;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;1.0;2.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;3.0;2.0;2.0;1.0;3.0;1.0;1.0;20.0;20.0;18.0;19.0;47.87506400409627;;9209563083.0;1314
1175;6952;Servicio Nacional De Aduanas;Ministerio de Hacienda;2022;20.8;3.0;0.0;36.427038626609445;44.31330472103004;43.339449901121604;180.005933914478;272.9656233148;0.0885610527176976;0.04039145168404788;3.017;2.6805555555555554;18.128654970760234;25.787171147050998;2.76;0.0;23.958333333333332;6.94;4.0;18.75;29.17;1.39;0.0;1.39;62.69;9.030000000000001;30.56;0.0;4.0;18.75;;1.0;3.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;;20.0;0.0;0.0;10.0;58.13503769255981;;9202157111.0;2152
648;86545;I Municipalidad De Linares;Municipios;2021;17.0;8.0;0.0;30.227197892657227;23.575897267039842;23.767366258869092;60.404114272308;97.78472182042199;0.013950258492345827;0.005609275093572065;3.007;1.963898916967509;10.115273775216139;11.949484840656162;2.09;0.0;24.819494584837546;27.8;64.86;28.0;6.14;5.05;0.0;0.0;89.14;9.790000000000006;6.14;0.0;64.86;28.0;0.0;1.0;2.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;2.0;1.0;1.0;13.0;0.0;9.0;10.0;63.37941628264209;Municipios;9128836233.0;3842
2024;86518;I Municipalidad De Lo Espejo;Municipios;2022;21.8;4.0;0.0;68.4863523573201;11.042183622828784;16.522394998912958;28.72234798209;852.2493928739821;0.0018134686168059762;0.09807680172953384;2.572;2.5462962962962963;3.669724770642202;47.24021530292646;2.79;0.0;41.782407407407405;12.04;8.57;15.38;75.46;2.78;0.0;0.0;64.71;36.709999999999994;75.46;0.0;8.57;15.38;0.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;3.0;;1.0;1.0;1.0;20.0;20.0;20.0;20.0;67.48818473054843;;9120066920.0;1001
866;98462;I Municipalidad De Vitacura;Municipios;2021;27.5;4.0;-1.0;42.5207756232687;10.041551246537397;26.69236797346003;64.666585747531;413.678415007809;0.006782962980152204;0.06100426302783199;6.893;1.1150278293135436;9.211318482841662;30.661175398281856;1.99;0.0;23.42300556586271;22.26;;29.41;1.48;1.11;0.0;0.0;8.7;2.6399999999999997;1.48;0.0;0.0;29.41;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;13.0;0.0;0.0;7.0;69.64021164021163;;9110900925.0;2318
2053;7479;Servicio Nac De Salud Hospital Traumatologico;Ministerio de Salud;2022;54.9;3.0;0.0;24.43438914027149;5.731523378582202;26.635321557966172;167.635501212646;338.227430600738;0.02971161878401496;0.03065682509469301;4.673;1.7058823529411764;17.709065354884046;27.63410143398628;1.6;0.0;31.372549019607842;19.61;18.33;87.5;33.33;2.94;0.0;0.0;92.16;5.6499999999999915;33.33;;18.33;87.5;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;3.0;1.0;27.0;20.0;20.0;23.0;54.88692232055064;;9102798486.0;3087
44;99105;I Municipalidad De Independencia;Municipios;2021;11.7;9.0;0.0;37.00787401574803;38.40096910963053;30.9972852105596;50.375151556359;517.429627711938;0.004139382898083976;0.040111799120098934;5.512;2.656934306569343;6.742209631728045;40.55722424672049;3.4;0.0;20.62043795620438;39.42;40.0;33.33;0.0;8.76;0.0;0.0;31.43;-14.280000000000001;0.0;0.98;40.0;33.33;0.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;7.0;0.0;0.0;3.0;64.33179723502305;Municipios;9073473541.0;1860
893;277559;Universidad De La Frontera;Otros;2021;33.2;3.0;0.0;28.10183693200129;8.056719303899452;19.396602008759373;92.53445126167;211.607034383297;0.01996406170778775;0.028094465562908223;3.742;1.257328990228013;14.823079375199235;23.430984513428722;1.95;0.0;21.661237785016286;9.12;10.85;3.85;1.95;2.28;0.0;0.0;70.44;-7.210000000000008;1.95;1.35;10.85;3.85;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;9.0;13.0;64.77897252090801;;9065853233.0;3368
1029;7456;Servicio De Salud Occidente Instituto Traumatologico De Santiago;Ministerio de Salud;2021;13.3;5.0;2.0;17.429193899782135;28.453159041394336;43.49135982356962;150.124176884371;353.115398871195;0.025542556649642494;0.03781108359332073;2.857;4.333333333333333;18.11965811965812;32.03331235384533;3.1;0.0;11.666666666666666;26.67;;25.0;0.0;6.67;0.0;0.0;46.67;-13.329999999999998;0.0;;0.0;25.0;0.0;1.0;3.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;0.0;10.0;64.50647692027003;;9028658297.0;2974
1085;7440;Servicio De Salud Hospital De Rengo;Ministerio de Salud;2022;2.0;19.0;1.0;23.2671260640454;64.45074989866234;64.18499019851338;54.157656071376;153.763317868992;0.0066448698110889055;0.01707973485583888;3.518;3.836734693877551;7.235686687741483;17.342591451969877;1.47;0.0;28.571428571428573;79.59;89.58;0.0;14.29;2.04;0.0;0.0;100.0;0.0;14.29;;89.58;0.0;;1.0;1.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;2.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;3.0;1.0;;13.0;40.0;22.0;21.0;63.40487573322484;;9019485201.0;3367
1487;7485;Hospital De Quilpue;Ministerio de Salud;2022;27.5;6.0;1.0;22.292263610315185;9.281008307075336;25.759863687203588;58.514140257018;186.883480337583;0.007318985411618478;0.013333617963923778;2.934;3.0434782608695654;8.725571153316817;19.574624244176945;1.52;0.0;19.202898550724637;39.13;4.76;24.24;0.0;0.0;0.0;0.0;75.76;15.100000000000009;0.0;0.0;4.76;24.24;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;1.0;27.0;0.0;10.0;17.0;79.49376724712151;;9008907460.0;4864
1227;1593366;Servicio Local De Educacion De Puerto Cordillera;Ministerio de Educación;2022;30.1;3.0;-1.0;50.798722044728436;2.8753993610223643;4.791481045100739;106.17748520711801;711.198996949441;0.053763674602920204;0.13122922566587017;6.085;2.06993006993007;14.923076923076923;42.19562953202019;2.51;0.0;20.97902097902098;6.99;3.28;6.25;5.59;3.5;0.0;0.0;64.77;-1.9000000000000057;5.59;0.0;3.28;6.25;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;0.0;10.0;65.87686744695023;;9007213880.0;837
2045;7106;Servicio De Salud Valdivia;Ministerio de Salud;2022;26.0;4.0;-1.0;58.80452342487884;12.924071082390952;16.832586230201073;83.251296370893;898.0589137873179;0.03221063312315092;0.10722127962154254;2.32;2.6538461538461537;12.551159618008185;48.98016753156337;1.75;0.0;17.067307692307693;27.88;21.74;9.38;1.92;4.81;0.0;0.0;61.96;-0.5399999999999991;1.92;0.0;21.74;9.38;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;0.0;10.0;64.85552066482697;;9002302948.0;1228
1255;86917;I Municipalidad De Calama;Municipios;2022;15.7;5.0;1.0;41.96675900277008;8.86426592797784;31.99771708095391;159.787184790812;1288.127060971665;0.047754622207948905;0.10273903646967046;5.638;2.8285714285714287;19.696969696969695;63.43405690627617;3.3;0.0;30.0;11.43;37.93;44.44;40.0;1.43;1.43;0.0;69.39;-1.5799999999999983;41.43;0.0;37.93;44.44;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;3.0;2.0;2.0;;2.0;2.0;1.0;20.0;0.0;10.0;13.0;53.465283725061056;;8985102517.0;843
1228;102316;I Municipalidad De Constitucion;Municipios;2022;35.4;5.0;0.0;29.069414974234615;55.38041830857836;26.57915688932013;78.591559994314;402.340880415762;0.029747278326769155;0.05919970902917035;3.444;2.027624309392265;11.256164780968959;29.334317380025187;1.97;0.0;34.530386740331494;16.02;25.0;44.44;38.67;10.5;0.0;0.0;97.67;2.799999999999997;38.67;0.0;25.0;44.44;0.0;2.0;3.0;2.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;3.0;2.0;2.0;;1.0;2.0;1.0;27.0;0.0;10.0;17.0;55.539696133472894;;8972651157.0;3776
1952;123526;I Municipalidad De Palmilla;Municipios;2022;40.3;4.0;-1.0;40.64837905236908;62.42726517040732;5.703095514413647;56.793925072777;5872.101886512958;0.0054442110779234065;0.20284024254753022;2.768;2.701492537313433;7.313195548489666;83.47742954922326;1.91;0.0;30.970149253731343;20.9;50.0;16.67;26.87;4.48;0.0;1.49;91.18;7.460000000000008;28.36;0.0;50.0;16.67;0.0;2.0;3.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;3.0;3.0;1.0;3.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;2.0;1.0;1.0;27.0;0.0;10.0;17.0;52.516890284518034;;8972501374.0;1391
1462;99805;Universidad Del Bio Bio;Otros;2022;17.6;5.0;1.0;27.534535237649262;5.057363615078437;14.341398572296635;113.67265407017001;277.628574756042;0.03800977461802482;0.030057855391541544;5.705;1.691415313225058;15.024458420684837;27.300091667444136;2.77;0.0;25.11600928074246;4.64;41.67;12.5;3.94;2.09;1.16;0.23;86.45;26.220000000000006;5.1;0.0;41.67;12.5;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;2.0;1.0;1.0;27.0;0.0;10.0;17.0;61.42671361055603;;8959208031.0;4457
936;7469;Servicio De Salud Nuble Hospital De San Carlos Dr Benicio Arzola Medin;Ministerio de Salud;2021;60.7;2.0;0.0;13.004598875830352;9.274399591211036;16.078286320589278;98.079083601324;202.17839157019;0.013854755235670832;0.023582605272505094;5.172;1.9285714285714286;12.961548255665903;19.610579540804782;1.54;0.0;15.178571428571429;10.71;;0.0;0.0;3.57;0.0;0.0;60.71;32.71;0.0;;0.0;0.0;0.0;2.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;;1.0;1.0;1.0;20.0;0.0;0.0;10.0;74.12515964240103;;8838666030.0;4595
145;132199;I Municipalidad De Zapallar;Municipios;2021;16.2;4.0;0.0;53.18655851680185;12.282734646581691;6.560171374432261;49.750870359687;1930.5570162878769;0.007446926951830713;0.19319300103621898;10.165;2.9393939393939394;7.915273132664437;58.216669727556685;2.53;0.0;19.19191919191919;7.07;36.51;16.67;4.04;2.02;0.0;0.0;66.67;36.11;4.04;0.0;36.51;16.67;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;2.0;1.0;1.0;13.0;0.0;18.0;13.0;71.12135176651306;;8817893245.0;1375
283;1172700;Fundacion Educacional Para El Desarollo Integral De La Niñez;Otros;2021;;;;12.967032967032967;1.098901098901099;0.006171633066634366;1171.59764730347;6155.005762326436;0.3932963003897503;1.6482477792098762;;;62.63736263736264;92.59139355761114;;;;;;;;;;;;;;;;;;;;;3.0;1.0;1.0;1.0;2.0;1.0;1.0;;;2.0;3.0;;;;;;;;;;;;;;;;;;22.0;;;22.0;25.138154027042916;;8815485392.0;455
392;1654650;Servicio De Vivienda Y Urbanizacion Region Ñuble;Ministerio de Vivienda y Urbanismo;2021;13.3;3.0;-1.0;36.666666666666664;29.444444444444446;15.54810610205293;908.02471308643;2815.0141089242084;0.59422773714342;1.019241106521718;6.452;2.1;50.55555555555556;82.01681379188777;3.0;0.0;20.0;;23.08;0.0;6.67;6.67;0.0;0.0;73.33;33.33;6.67;;23.08;0.0;;1.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;;1.0;1.0;;20.0;0.0;11.0;14.0;51.17913832199547;;8815203398.0;191
248;135562;Ilustre Municipalidad De Quillon;Municipios;2021;28.1;3.0;-1.0;32.828555976203354;26.663061114115738;26.015596695567666;96.433493871033;159.783361830964;0.029800733091119216;0.012745155005183454;8.725;2.1145833333333335;13.514957264957266;17.448590211201775;2.33;0.0;27.34375;9.38;39.13;14.29;11.46;5.21;0.0;0.0;96.3;0.21999999999999886;11.46;2.38;39.13;14.29;0.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;2.0;1.0;1.0;20.0;0.0;9.0;13.0;57.53200204813108;Municipios;8807368890.0;4336
